code,description,pt_binary
90901,Biofeedback train any meth,1
90912,Bfb training 1st 15 min,0
90913,Bfb training ea addl 15 min,0
92507,Speech/hearing therapy,0
92508,Speech/hearing therapy,0
92520,Laryngeal function studies,0
92521,Evaluation of speech fluency,0
92522,Evaluate speech production,0
92523,Speech sound lang comprehen,0
92524,Behavral qualit analys voice,0
92526,Oral function therapy,0
92597,Oral speech device eval,0
92607,Ex for speech device rx 1hr,0
92608,Ex for speech device rx addl,0
92609,Use of speech device service,0
92610,Evaluate swallowing function,0
92611,Motion fluoroscopy/swallow,0
92612,Endoscopy swallow tst (fees),0
92614,Laryngoscopic sensory test,0
92616,Fees w/laryngeal sense test,0
93797,Cardiac rehab,1
93798,Cardiac rehab/monitor,1
95851,Range of motion measurements,1
95852,Range of motion measurements,1
95992,Canalith repositioning proc,0
96000,Motion analysis video/3d,0
96001,Motion test w/ft press meas,0
96002,Dynamic surface emg,0
96105,Assessment of aphasia ,0
96125,Cognitive test by HC pro,0
97010,Hot or cold packs therapy,0
97012,Mechanical traction therapy,1
97016,Vasopneumatic device therapy,0
97018,Paraffin bath therapy,0
97022,Whirlpool therapy,0
97024,Diathermy eg microwave,0
97026,Infrared therapy,0
97028,Ultraviolet therapy,0
97032,Electrical stimulation,0
97033,Electric current therapy,0
97034,Contrast bath therapy,0
97035,Ultrasound therapy,0
97036,Hydrotherapy,0
97039,Physical therapy treatment,1
97110,Therapeutic exercises,1
97112,Neuromuscular reeducation,0
97113,Aquatic therapy/exercises,0
97116,Gait training therapy,1
97124,Massage therapy,0
97129,Ther ivntj 1st 15 min,0
97130,Ther ivntj ea addl 15 min,0
97139,Physical medicine procedure,1
97140,Manual therapy,1
97150,Group therapeutic procedures,1
97161,Pt eval low complex 20 min,1
97162,Pt eval mod complex 30 min,1
97163,Pt eval high complex 45 min,1
97164,Pt re-eval est plan care,1
97165,Ot eval low complex 30 min,0
97166,Ot eval mod complex 45 min,0
97167,Ot eval high complex 60 min,0
97168,Ot re-eval est plan care,0
97530,Therapeutic activities,1
97533,Sensory integration,0
97535,Self care mngment training,0
97537,Community/work reintegration,0
97542,Wheelchair mngment training,0
97545,Work hardening,0
97546,Work hardening add-on,0
97550,Caregiver traing 1st 30 min,0
97551,Caregiver traing ea addl 15,0
97552,Group caregiver training,0
97597,RMVL devital tis 20cm/<,0
97598,RMVL devital tis addl 20 cm<,0
97602,Wound(s) care non-selective,0
97605,Neg press wound tx < 50 cm,0
97606,Neg press wound tx > 50 cm,0
97607,Neg press wnd tx </=50 sq cm,0
97608,Neg press wound tx >50 cm,0
97610,Low frequency non-thermal US,0
97750,Physical performance test,0
97755,Assistive technology assess,0
97760,Orthotic mgmt&trainj 1st enc ,0
97761,Prosthetic trainj 1st enc,0
97763,Orth/prostc mgmt sbsq enc,0
97799,Physical medicine procedure,1
98966,Ph1 assmt&mgmt nqhp 5-10,0
98967,Ph1 assmt&mgmt nqhp 11-20,0
98968,Ph1 assmt&mgmt nqhp 21-30,0
98970,Nqhp ol dig assmt&mgmt 5-10,0
98971,Nqhp ol dig assmt&mgmt 11-20,0
98972,Nqhp ol dig assmt&mgmt 21+,0
98975,Rem ther mntr 1st set-up&edu,0
98976,Rtm dev sply resp sys 16-30d,0
98977,Rtm dev sply mscskl 16-30 d,0
98979,Rtm tx mgmt 1st 10 min,0
98980,Rtm tx mgmt 1st 20 min,0
98981,Rtm tx mgmt ea addl 20 min,0
98984,Rtm dev sply resp sys 2-15 d,0
98985,Rtm dev sply mscsk sys 2-15d,0
G0281,Elec stim unattend for press,0
G0283,Elec stim other than wound,0
G0329,Electromagntic tx for ulcers,0
G0451,Development test interp & rep,0
G0541,No pt prsnt train initial 30,0
G0542,No pt prsnt train add 15,0
G0543,Group train w/o patient ,0
G2250,Remot img sub by pt non e/m,0
G2251,Brief chkin 5-10 non-e/m,0
