hour,Criteria,Eligible Blocks
0,Patel,28846
1,Patel,28844
2,Patel,29029
3,Patel,29191
4,Patel,29334
5,Patel,29437
6,Patel,29561
7,Patel,29632
8,Patel,29815
9,Patel,29775
10,Patel,29657
11,Patel,29381
12,Patel,29085
13,Patel,28659
14,Patel,28382
15,Patel,28200
16,Patel,28184
17,Patel,28040
18,Patel,27991
19,Patel,28140
20,Patel,28468
21,Patel,28576
22,Patel,28680
23,Patel,28685
0,TEAM,28798
1,TEAM,28903
2,TEAM,29032
3,TEAM,29113
4,TEAM,29264
5,TEAM,29389
6,TEAM,29479
7,TEAM,29576
8,TEAM,29686
9,TEAM,29698
10,TEAM,29609
11,TEAM,29327
12,TEAM,29046
13,TEAM,28673
14,TEAM,28358
15,TEAM,28121
16,TEAM,28077
17,TEAM,27903
18,TEAM,27788
19,TEAM,27953
20,TEAM,28259
21,TEAM,28324
22,TEAM,28526
23,TEAM,28605
0,Yellow,28906
1,Yellow,28934
2,Yellow,29074
3,Yellow,29216
4,Yellow,29411
5,Yellow,29489
6,Yellow,29613
7,Yellow,29661
8,Yellow,29883
9,Yellow,29837
10,Yellow,29724
11,Yellow,29487
12,Yellow,29176
13,Yellow,28767
14,Yellow,28460
15,Yellow,28262
16,Yellow,28325
17,Yellow,28182
18,Yellow,28125
19,Yellow,28268
20,Yellow,28628
21,Yellow,28654
22,Yellow,28767
23,Yellow,28768
0,Green,27408
1,Green,27430
2,Green,27634
3,Green,27710
4,Green,27942
5,Green,28017
6,Green,28104
7,Green,28227
8,Green,28477
9,Green,28387
10,Green,28268
11,Green,27996
12,Green,27759
13,Green,27349
14,Green,27027
15,Green,26809
16,Green,26818
17,Green,26600
18,Green,26446
19,Green,26565
20,Green,26953
21,Green,26972
22,Green,27106
23,Green,27115
0,Green_no_red,27100
1,Green_no_red,27095
2,Green_no_red,27305
3,Green_no_red,27417
4,Green_no_red,27660
5,Green_no_red,27756
6,Green_no_red,27873
7,Green_no_red,27968
8,Green_no_red,28262
9,Green_no_red,28178
10,Green_no_red,28064
11,Green_no_red,27820
12,Green_no_red,27561
13,Green_no_red,27130
14,Green_no_red,26819
15,Green_no_red,26602
16,Green_no_red,26643
17,Green_no_red,26415
18,Green_no_red,26266
19,Green_no_red,26372
20,Green_no_red,26756
21,Green_no_red,26747
22,Green_no_red,26840
23,Green_no_red,26842
