criterion,day,prop_bus_hrs
Patel,0,0.6842664233706712
Patel,1,0.8377743222110942
Patel,2,0.8358354388787546
Patel,3,0.8311462238885913
Patel,4,0.8197489384333556
Patel,5,0.8120113998456271
Patel,6,0.8018811195951849
Patel,7,0.7996974281391831
TEAM,0,0.669351475991746
TEAM,1,0.8667659409976631
TEAM,2,0.8778424863186757
TEAM,3,0.8825515180559862
TEAM,4,0.8786057387912913
TEAM,5,0.8710590377421973
TEAM,6,0.8634429707620916
TEAM,7,0.8677760968229955
Yellow,0,0.6979732065533107
Yellow,1,0.8673545587124207
Yellow,2,0.8769473934669552
Yellow,3,0.8787246638288275
Yellow,4,0.8732451438074575
Yellow,5,0.8649830783541473
Yellow,6,0.852403589784318
Yellow,7,0.8490166414523449
Green,0,0.5614542162792107
Green,1,0.7176084550102788
Green,2,0.7210822692303335
Green,3,0.7193640233416965
Green,4,0.7068978616713237
Green,5,0.6938369584578542
Green,6,0.6809017574512986
Green,7,0.6934947049924357
