column,before_filling,after_filling
encounter_block,0.0,0.0
recorded_date,0.0,0.0
recorded_hour,0.0,0.0
time_from_vent,0.0,0.0
time_from_vent_adjusted,0.0,0.0
min_fio2_set,17.418208393979658,0.00453389760145622
max_fio2_set,17.418208393979658,0.00453389760145622
min_peep_set,46.057533481341146,0.03418148315171933
max_peep_set,46.057533481341146,0.03418148315171933
min_lpm_set,67.3292936243511,13.717223232139103
max_lpm_set,67.3292936243511,13.717223232139103
min_resp_rate_obs,47.3170800878494,0.10592155013772414
max_resp_rate_obs,47.3170800878494,0.10592155013772414
hourly_trach,11.644690945843806,0.0
hourly_on_vent,11.644690945843806,0.0
avg_dbp,14.723244733262222,0.0008022946372947223
avg_heart_rate,12.993273599076952,0.0
avg_height_cm,99.94154443956641,81.84834504341441
avg_map,14.734458200169525,0.0008022946372947223
avg_respiratory_rate,13.533180573946657,0.01681087135354755
avg_sbp,14.710463993109968,0.0008022946372947223
avg_spo2,13.92234944707906,0.0063064090094329325
avg_weight_kg,94.53960135658694,2.3011489418946507
max_dbp,14.723244733262222,0.0008022946372947223
max_heart_rate,12.993273599076952,0.0
max_height_cm,99.94154443956641,81.84834504341441
max_map,14.734458200169525,0.0008022946372947223
max_respiratory_rate,13.533180573946657,0.01681087135354755
max_sbp,14.710463993109968,0.0008022946372947223
max_spo2,13.92234944707906,0.0063064090094329325
max_weight_kg,94.53960135658694,2.3011489418946507
min_dbp,14.723244733262222,0.0008022946372947223
min_heart_rate,12.993273599076952,0.0
min_height_cm,99.94154443956641,81.84834504341441
min_map,14.734458200169525,0.0008022946372947223
min_respiratory_rate,13.533180573946657,0.01681087135354755
min_sbp,14.710463993109968,0.0008022946372947223
min_spo2,13.92234944707906,0.0063064090094329325
min_weight_kg,94.53960135658694,2.3011489418946507
ne_calc_min,66.65036578105156,31.93224080705616
ne_calc_max,66.65036578105156,31.93224080705616
ne_calc_first,66.65036578105156,31.93224080705616
ne_calc_last,66.65036578105156,35.841449414296925
last_ne_dose_last_6_hours,66.65036578105156,0.0
nicardipine_flag,99.26246733214829,0.0
nitroprusside_flag,99.26246733214829,0.0
clevidipine_flag,99.26246733214829,0.0
red_meds_flag,99.26246733214829,0.0
cisatracurium_flag,99.63133628515567,0.0
vecuronium_flag,99.63133628515567,0.0
rocuronium_flag,99.63133628515567,0.0
paralytics_flag,99.63133628515567,0.0
lactate,95.92152588230488,59.75102371862818
