med_category,total_N,min,max,first_quantile,second_quantile,third_quantile,missing_values
angiotensin,490,0.0,83.689354,0.010002984665334225,10.007493495941162,34.99516582489014,0
cisatracurium,31079,0.0,38.461536,0.0,0.09988101571798325,0.1999627724289894,0
clevidipine,6564,0.0,240.0,0.0,3.035950183868408,7.9688146114349365,0
dopamine,15536,0.0,4000.0,1.0004982650279999,5.000042676925659,9.67367148399353,0
epinephrine,41495,0.0,41.14286,0.0,0.03001200407743454,0.08004056662321091,0
nicardipine,56498,0.0,2422.2454,0.4000503420829773,1.000400185585022,1.9990554749965668,0
nitroprusside,5942,0.0,89.706856,0.2500625252723694,0.7055454254150391,1.4993589520454407,0
norepinephrine,475495,0.0,359.5506,0.030005905777215958,0.08003778755664825,0.18002021312713623,0
phenylephrine,305666,-1.6572164,880.0587,0.2500250041484833,0.6118995249271393,1.4984077215194702,0
vasopressin,55689,0.0,2400.0,0.0,1.2012012004852295,2.3999998569488525,0
vecuronium,267,0.0,0.31616768,0.0,0.04999331757426262,0.05049331672489643,0
