device_category,variable,N,missing,min,q25,median,q75,mean,max
cpap,fio2_set,658,10106,0.21,0.4,0.6,0.7,0.5858662613981763,1.0
face mask,fio2_set,113731,46514,0.2,0.4,0.5,0.5,0.5210362170384504,1.0
high flow nc,fio2_set,60820,5588,0.2,0.5,0.6,0.8,0.6698588128904965,1.0
imv,fio2_set,624046,136665,0.2,0.4,0.4,0.5,0.46202661342272844,1.0
nasal cannula,fio2_set,5853,513283,0.2,0.4,0.5,0.6,0.5351375363061678,1.0
nippv,fio2_set,9058,16755,0.21,0.4,0.5,0.6,0.5500827997350408,1.0
other,fio2_set,8258,4132,0.2,0.35,0.4,0.5,0.43771252119157184,1.0
trach collar,fio2_set,43898,6321,0.2,0.35,0.4,0.5,0.42814595197958905,1.0
cpap,peep_set,707,10057,0.0,5.0,8.0,11.5,8.877652050919378,22.0
face mask,peep_set,1520,158725,0.0,0.0,5.0,5.0,3.861842105263158,17.0
high flow nc,peep_set,153,66255,0.0,5.0,5.0,8.0,5.8431372549019605,15.0
imv,peep_set,588399,172312,0.0,5.0,5.0,8.0,13.152993098220765,3666670.0
nasal cannula,peep_set,494,518642,0.0,5.0,5.0,5.0,4.815789473684211,16.0
nippv,peep_set,15145,10668,0.0,5.0,5.0,8.0,7.082839220864972,814.0
other,peep_set,1199,11191,0.0,5.0,5.0,8.0,6.139282735613011,15.0
trach collar,peep_set,998,49221,0.0,5.0,5.0,5.0,4.710420841683367,24.0
cpap,lpm_set,6634,4130,0.0,3.0,5.0,8.0,5.797934880916491,70.0
face mask,lpm_set,127349,32896,0.0,10.0,10.0,12.0,11.241619486607668,1210.0
high flow nc,lpm_set,59263,7145,0.0,15.0,40.0,50.0,35.24722001923629,401.0
imv,lpm_set,11526,749185,-1.0,10.0,10.0,10.0,10.487124761408989,1040.0
nasal cannula,lpm_set,504093,15043,-1.0,2.0,3.0,4.0,3.0189588032367043,100.0
nippv,lpm_set,9440,16373,0.0,4.0,6.0,10.0,7.396186440677966,100.0
other,lpm_set,8905,3485,0.0,7.0,10.0,10.0,9.585401459854015,100.0
trach collar,lpm_set,37032,13187,0.0,10.0,10.0,10.0,10.289621138474832,121.0
cpap,resp_rate_set,20,10744,5.0,9.5,12.0,17.25,13.85,24.0
face mask,resp_rate_set,128,160117,0.0,10.0,14.0,18.0,12.9375,29.0
high flow nc,resp_rate_set,52,66356,0.0,16.0,21.0,25.0,20.384615384615383,38.0
imv,resp_rate_set,301789,458922,0.0,15.0,18.0,24.0,19.59768911391734,1618.0
nasal cannula,resp_rate_set,114,519022,0.0,12.0,15.0,17.5,14.771929824561404,34.0
nippv,resp_rate_set,2304,23509,0.0,10.0,12.0,15.0,13.28689236111111,560.0
other,resp_rate_set,151,12239,0.0,13.0,16.0,21.5,20.814569536423843,688.0
trach collar,resp_rate_set,248,49971,0.0,10.0,15.0,18.0,13.951612903225806,36.0
cpap,resp_rate_obs,185,10579,0.0,17.0,22.0,28.0,22.956756756756757,49.0
face mask,resp_rate_obs,1305,158940,0.0,12.0,18.0,23.0,16.595402298850576,57.0
high flow nc,resp_rate_obs,258,66150,0.0,18.25,23.0,26.0,22.108527131782946,42.0
imv,resp_rate_obs,541638,219073,-1.0,16.0,20.0,26.0,21.359888911043907,3537.0
nasal cannula,resp_rate_obs,408,518728,0.0,14.0,19.0,24.0,19.098039215686274,95.0
nippv,resp_rate_obs,4810,21003,0.0,20.0,24.0,29.0,25.26673596673597,660.0
other,resp_rate_obs,1114,11276,0.0,19.0,24.0,29.0,24.061938958707362,122.0
trach collar,resp_rate_obs,1203,49016,0.0,16.0,22.0,26.0,19.528678304239403,60.0
